bt_id,day_type,dt
124,Weekday,09/26/2017
126,Weekday,09/26/2017
127,Weekday,09/26/2017
128,Weekday,09/26/2017
129,Weekday,09/26/2017
131,Weekday,09/26/2017
132,Weekday,09/26/2017
133,Weekday,09/26/2017
134,Weekday,09/26/2017
135,Weekday,09/26/2017
136,Weekday,09/26/2017
137,Weekday,09/26/2017
138,Weekday,09/26/2017
1,Weekday,09/27/2017
2,Weekday,09/27/2017
3,Weekday,09/27/2017
4,Weekday,09/27/2017
11,Weekday,09/27/2017
12,Weekday,09/27/2017
19,Weekday,09/27/2017
20,Weekday,09/27/2017
21,Weekday,09/27/2017
26,Weekday,09/27/2017
29,Weekday,09/27/2017
34,Weekday,09/27/2017
35,Weekday,09/27/2017
36,Weekday,09/27/2017
37,Weekday,09/27/2017
48,Weekday,09/27/2017
49,Weekday,09/27/2017
50,Weekday,09/27/2017
51,Weekday,09/27/2017
52,Weekday,09/27/2017
53,Weekday,09/27/2017
54,Weekday,09/27/2017
55,Weekday,09/27/2017
56,Weekday,09/27/2017
59,Weekday,09/27/2017
60,Weekday,09/27/2017
61,Weekday,09/27/2017
62,Weekday,09/27/2017
63,Weekday,09/27/2017
64,Weekday,09/27/2017
65,Weekday,09/27/2017
66,Weekday,09/27/2017
67,Weekday,09/27/2017
68,Weekday,09/27/2017
69,Weekday,09/27/2017
74,Weekday,09/27/2017
75,Weekday,09/27/2017
79,Weekday,09/27/2017
80,Weekday,09/27/2017
81,Weekday,09/27/2017
82,Weekday,09/27/2017
83,Weekday,09/27/2017
84,Weekday,09/27/2017
86,Weekday,09/27/2017
87,Weekday,09/27/2017
89,Weekday,09/27/2017
90,Weekday,09/27/2017
93,Weekday,09/27/2017
94,Weekday,09/27/2017
95,Weekday,09/27/2017
96,Weekday,09/27/2017
97,Weekday,09/27/2017
98,Weekday,09/27/2017
103,Weekday,09/27/2017
104,Weekday,09/27/2017
105,Weekday,09/27/2017
106,Weekday,09/27/2017
111,Weekday,09/27/2017
112,Weekday,09/27/2017
113,Weekday,09/27/2017
114,Weekday,09/27/2017
115,Weekday,09/27/2017
116,Weekday,09/27/2017
119,Weekday,09/27/2017
120,Weekday,09/27/2017
121,Weekday,09/27/2017
122,Weekday,09/27/2017
123,Weekday,09/27/2017
124,Weekday,09/27/2017
125,Weekday,09/27/2017
126,Weekday,09/27/2017
127,Weekday,09/27/2017
128,Weekday,09/27/2017
129,Weekday,09/27/2017
130,Weekday,09/27/2017
131,Weekday,09/27/2017
132,Weekday,09/27/2017
133,Weekday,09/27/2017
134,Weekday,09/27/2017
135,Weekday,09/27/2017
136,Weekday,09/27/2017
137,Weekday,09/27/2017
138,Weekday,09/27/2017
1,Weekday,09/28/2017
2,Weekday,09/28/2017
3,Weekday,09/28/2017
4,Weekday,09/28/2017
11,Weekday,09/28/2017
12,Weekday,09/28/2017
19,Weekday,09/28/2017
20,Weekday,09/28/2017
21,Weekday,09/28/2017
26,Weekday,09/28/2017
29,Weekday,09/28/2017
34,Weekday,09/28/2017
35,Weekday,09/28/2017
36,Weekday,09/28/2017
37,Weekday,09/28/2017
48,Weekday,09/28/2017
49,Weekday,09/28/2017
50,Weekday,09/28/2017
51,Weekday,09/28/2017
52,Weekday,09/28/2017
53,Weekday,09/28/2017
54,Weekday,09/28/2017
55,Weekday,09/28/2017
56,Weekday,09/28/2017
59,Weekday,09/28/2017
60,Weekday,09/28/2017
61,Weekday,09/28/2017
62,Weekday,09/28/2017
63,Weekday,09/28/2017
64,Weekday,09/28/2017
65,Weekday,09/28/2017
66,Weekday,09/28/2017
67,Weekday,09/28/2017
68,Weekday,09/28/2017
69,Weekday,09/28/2017
70,Weekday,09/28/2017
71,Weekday,09/28/2017
72,Weekday,09/28/2017
73,Weekday,09/28/2017
74,Weekday,09/28/2017
75,Weekday,09/28/2017
76,Weekday,09/28/2017
77,Weekday,09/28/2017
78,Weekday,09/28/2017
79,Weekday,09/28/2017
80,Weekday,09/28/2017
81,Weekday,09/28/2017
82,Weekday,09/28/2017
83,Weekday,09/28/2017
84,Weekday,09/28/2017
86,Weekday,09/28/2017
87,Weekday,09/28/2017
89,Weekday,09/28/2017
90,Weekday,09/28/2017
93,Weekday,09/28/2017
94,Weekday,09/28/2017
95,Weekday,09/28/2017
96,Weekday,09/28/2017
97,Weekday,09/28/2017
98,Weekday,09/28/2017
103,Weekday,09/28/2017
104,Weekday,09/28/2017
105,Weekday,09/28/2017
106,Weekday,09/28/2017
111,Weekday,09/28/2017
112,Weekday,09/28/2017
113,Weekday,09/28/2017
114,Weekday,09/28/2017
115,Weekday,09/28/2017
116,Weekday,09/28/2017
119,Weekday,09/28/2017
120,Weekday,09/28/2017
121,Weekday,09/28/2017
122,Weekday,09/28/2017
123,Weekday,09/28/2017
124,Weekday,09/28/2017
125,Weekday,09/28/2017
126,Weekday,09/28/2017
127,Weekday,09/28/2017
128,Weekday,09/28/2017
129,Weekday,09/28/2017
130,Weekday,09/28/2017
131,Weekday,09/28/2017
132,Weekday,09/28/2017
133,Weekday,09/28/2017
134,Weekday,09/28/2017
135,Weekday,09/28/2017
136,Weekday,09/28/2017
137,Weekday,09/28/2017
138,Weekday,09/28/2017
1,Weekday,09/29/2017
2,Weekday,09/29/2017
3,Weekday,09/29/2017
4,Weekday,09/29/2017
11,Weekday,09/29/2017
12,Weekday,09/29/2017
19,Weekday,09/29/2017
20,Weekday,09/29/2017
21,Weekday,09/29/2017
26,Weekday,09/29/2017
29,Weekday,09/29/2017
34,Weekday,09/29/2017
35,Weekday,09/29/2017
36,Weekday,09/29/2017
37,Weekday,09/29/2017
48,Weekday,09/29/2017
49,Weekday,09/29/2017
50,Weekday,09/29/2017
51,Weekday,09/29/2017
52,Weekday,09/29/2017
53,Weekday,09/29/2017
54,Weekday,09/29/2017
55,Weekday,09/29/2017
56,Weekday,09/29/2017
59,Weekday,09/29/2017
60,Weekday,09/29/2017
61,Weekday,09/29/2017
62,Weekday,09/29/2017
63,Weekday,09/29/2017
64,Weekday,09/29/2017
65,Weekday,09/29/2017
66,Weekday,09/29/2017
67,Weekday,09/29/2017
68,Weekday,09/29/2017
69,Weekday,09/29/2017
70,Weekday,09/29/2017
71,Weekday,09/29/2017
72,Weekday,09/29/2017
73,Weekday,09/29/2017
74,Weekday,09/29/2017
75,Weekday,09/29/2017
76,Weekday,09/29/2017
77,Weekday,09/29/2017
78,Weekday,09/29/2017
79,Weekday,09/29/2017
80,Weekday,09/29/2017
81,Weekday,09/29/2017
82,Weekday,09/29/2017
83,Weekday,09/29/2017
84,Weekday,09/29/2017
86,Weekday,09/29/2017
87,Weekday,09/29/2017
89,Weekday,09/29/2017
90,Weekday,09/29/2017
93,Weekday,09/29/2017
94,Weekday,09/29/2017
95,Weekday,09/29/2017
96,Weekday,09/29/2017
97,Weekday,09/29/2017
98,Weekday,09/29/2017
103,Weekday,09/29/2017
104,Weekday,09/29/2017
105,Weekday,09/29/2017
106,Weekday,09/29/2017
111,Weekday,09/29/2017
112,Weekday,09/29/2017
113,Weekday,09/29/2017
114,Weekday,09/29/2017
115,Weekday,09/29/2017
116,Weekday,09/29/2017
119,Weekday,09/29/2017
120,Weekday,09/29/2017
121,Weekday,09/29/2017
122,Weekday,09/29/2017
123,Weekday,09/29/2017
124,Weekday,09/29/2017
125,Weekday,09/29/2017
126,Weekday,09/29/2017
127,Weekday,09/29/2017
128,Weekday,09/29/2017
129,Weekday,09/29/2017
130,Weekday,09/29/2017
131,Weekday,09/29/2017
132,Weekday,09/29/2017
133,Weekday,09/29/2017
134,Weekday,09/29/2017
135,Weekday,09/29/2017
136,Weekday,09/29/2017
137,Weekday,09/29/2017
138,Weekday,09/29/2017
1,Weekend,09/30/2017
2,Weekend,09/30/2017
3,Weekend,09/30/2017
4,Weekend,09/30/2017
11,Weekend,09/30/2017
12,Weekend,09/30/2017
19,Weekend,09/30/2017
20,Weekend,09/30/2017
21,Weekend,09/30/2017
26,Weekend,09/30/2017
29,Weekend,09/30/2017
34,Weekend,09/30/2017
35,Weekend,09/30/2017
36,Weekend,09/30/2017
37,Weekend,09/30/2017
48,Weekend,09/30/2017
49,Weekend,09/30/2017
50,Weekend,09/30/2017
51,Weekend,09/30/2017
52,Weekend,09/30/2017
53,Weekend,09/30/2017
54,Weekend,09/30/2017
55,Weekend,09/30/2017
56,Weekend,09/30/2017
59,Weekend,09/30/2017
60,Weekend,09/30/2017
61,Weekend,09/30/2017
62,Weekend,09/30/2017
63,Weekend,09/30/2017
64,Weekend,09/30/2017
65,Weekend,09/30/2017
66,Weekend,09/30/2017
67,Weekend,09/30/2017
68,Weekend,09/30/2017
69,Weekend,09/30/2017
70,Weekend,09/30/2017
71,Weekend,09/30/2017
72,Weekend,09/30/2017
73,Weekend,09/30/2017
74,Weekend,09/30/2017
75,Weekend,09/30/2017
76,Weekend,09/30/2017
77,Weekend,09/30/2017
78,Weekend,09/30/2017
79,Weekend,09/30/2017
80,Weekend,09/30/2017
81,Weekend,09/30/2017
82,Weekend,09/30/2017
83,Weekend,09/30/2017
84,Weekend,09/30/2017
86,Weekend,09/30/2017
87,Weekend,09/30/2017
89,Weekend,09/30/2017
90,Weekend,09/30/2017
93,Weekend,09/30/2017
94,Weekend,09/30/2017
95,Weekend,09/30/2017
96,Weekend,09/30/2017
97,Weekend,09/30/2017
98,Weekend,09/30/2017
103,Weekend,09/30/2017
104,Weekend,09/30/2017
105,Weekend,09/30/2017
106,Weekend,09/30/2017
111,Weekend,09/30/2017
112,Weekend,09/30/2017
113,Weekend,09/30/2017
114,Weekend,09/30/2017
115,Weekend,09/30/2017
116,Weekend,09/30/2017
119,Weekend,09/30/2017
120,Weekend,09/30/2017
121,Weekend,09/30/2017
122,Weekend,09/30/2017
123,Weekend,09/30/2017
124,Weekend,09/30/2017
125,Weekend,09/30/2017
126,Weekend,09/30/2017
127,Weekend,09/30/2017
128,Weekend,09/30/2017
129,Weekend,09/30/2017
130,Weekend,09/30/2017
131,Weekend,09/30/2017
132,Weekend,09/30/2017
133,Weekend,09/30/2017
134,Weekend,09/30/2017
135,Weekend,09/30/2017
136,Weekend,09/30/2017
137,Weekend,09/30/2017
138,Weekend,09/30/2017
1,Weekend,10/01/2017
2,Weekend,10/01/2017
3,Weekend,10/01/2017
4,Weekend,10/01/2017
11,Weekend,10/01/2017
12,Weekend,10/01/2017
19,Weekend,10/01/2017
20,Weekend,10/01/2017
21,Weekend,10/01/2017
26,Weekend,10/01/2017
29,Weekend,10/01/2017
34,Weekend,10/01/2017
35,Weekend,10/01/2017
36,Weekend,10/01/2017
37,Weekend,10/01/2017
48,Weekend,10/01/2017
49,Weekend,10/01/2017
50,Weekend,10/01/2017
51,Weekend,10/01/2017
52,Weekend,10/01/2017
53,Weekend,10/01/2017
54,Weekend,10/01/2017
55,Weekend,10/01/2017
56,Weekend,10/01/2017
59,Weekend,10/01/2017
60,Weekend,10/01/2017
61,Weekend,10/01/2017
62,Weekend,10/01/2017
63,Weekend,10/01/2017
64,Weekend,10/01/2017
65,Weekend,10/01/2017
66,Weekend,10/01/2017
67,Weekend,10/01/2017
68,Weekend,10/01/2017
69,Weekend,10/01/2017
70,Weekend,10/01/2017
71,Weekend,10/01/2017
72,Weekend,10/01/2017
73,Weekend,10/01/2017
74,Weekend,10/01/2017
75,Weekend,10/01/2017
76,Weekend,10/01/2017
77,Weekend,10/01/2017
78,Weekend,10/01/2017
79,Weekend,10/01/2017
80,Weekend,10/01/2017
81,Weekend,10/01/2017
82,Weekend,10/01/2017
83,Weekend,10/01/2017
84,Weekend,10/01/2017
86,Weekend,10/01/2017
87,Weekend,10/01/2017
89,Weekend,10/01/2017
90,Weekend,10/01/2017
93,Weekend,10/01/2017
94,Weekend,10/01/2017
95,Weekend,10/01/2017
96,Weekend,10/01/2017
97,Weekend,10/01/2017
98,Weekend,10/01/2017
103,Weekend,10/01/2017
104,Weekend,10/01/2017
105,Weekend,10/01/2017
106,Weekend,10/01/2017
111,Weekend,10/01/2017
112,Weekend,10/01/2017
113,Weekend,10/01/2017
114,Weekend,10/01/2017
115,Weekend,10/01/2017
116,Weekend,10/01/2017
119,Weekend,10/01/2017
120,Weekend,10/01/2017
121,Weekend,10/01/2017
122,Weekend,10/01/2017
123,Weekend,10/01/2017
124,Weekend,10/01/2017
125,Weekend,10/01/2017
126,Weekend,10/01/2017
127,Weekend,10/01/2017
128,Weekend,10/01/2017
129,Weekend,10/01/2017
130,Weekend,10/01/2017
131,Weekend,10/01/2017
132,Weekend,10/01/2017
133,Weekend,10/01/2017
134,Weekend,10/01/2017
135,Weekend,10/01/2017
136,Weekend,10/01/2017
137,Weekend,10/01/2017
138,Weekend,10/01/2017
1,Weekday,10/02/2017
2,Weekday,10/02/2017
3,Weekday,10/02/2017
4,Weekday,10/02/2017
11,Weekday,10/02/2017
12,Weekday,10/02/2017
19,Weekday,10/02/2017
20,Weekday,10/02/2017
21,Weekday,10/02/2017
26,Weekday,10/02/2017
27,Weekday,10/02/2017
28,Weekday,10/02/2017
29,Weekday,10/02/2017
34,Weekday,10/02/2017
35,Weekday,10/02/2017
36,Weekday,10/02/2017
37,Weekday,10/02/2017
38,Weekday,10/02/2017
44,Weekday,10/02/2017
45,Weekday,10/02/2017
46,Weekday,10/02/2017
47,Weekday,10/02/2017
48,Weekday,10/02/2017
49,Weekday,10/02/2017
50,Weekday,10/02/2017
51,Weekday,10/02/2017
52,Weekday,10/02/2017
53,Weekday,10/02/2017
54,Weekday,10/02/2017
55,Weekday,10/02/2017
56,Weekday,10/02/2017
57,Weekday,10/02/2017
58,Weekday,10/02/2017
59,Weekday,10/02/2017
60,Weekday,10/02/2017
61,Weekday,10/02/2017
62,Weekday,10/02/2017
63,Weekday,10/02/2017
64,Weekday,10/02/2017
65,Weekday,10/02/2017
66,Weekday,10/02/2017
67,Weekday,10/02/2017
68,Weekday,10/02/2017
69,Weekday,10/02/2017
